,temperature,humidity,noise_level,wifiAccessPoints,lat,lng,accuracy,time,PDSB-ADMIN_max_signalStrength,PDSB-MEDIA_max_signalStrength,PDSB-WiFi_max_signalStrength,PDSB-GUEST_max_signalStrength,PDSB-ADMIN_mean_signalStrength,PDSB-MEDIA_mean_signalStrength,PDSB-WiFi_mean_signalStrength,PDSB-GUEST_mean_signalStrength,PDSB-ADMIN_count_mac,PDSB-MEDIA_count_mac,PDSB-WiFi_count_mac,PDSB-GUEST_count_mac,cell_id
0,15,45,585,"[{'macAddress': '88:75:56:AF:20:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -58}, {'macAddress': '88:75:56:57:0C:94', 'ssid': 'PDSB-MEDIA', 'signalStrength': -89}, {'macAddress': '88:75:56:57:0C:95', 'ssid': 'PDSB-GUEST', 'signalStrength': -87}, {'macAddress': '88:75:56:87:6C:A4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -83}, {'macAddress': '20:3A:07:48:1A:00', 'ssid': 'PDSB-ADMIN', 'signalStrength': -55}, {'macAddress': '20:3A:07:48:1A:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -54}, {'macAddress': '88:75:56:87:6C:A0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -82}, {'macAddress': '20:3A:07:48:1A:05', 'ssid': 'PDSB-GUEST', 'signalStrength': -56}, {'macAddress': '88:75:56:87:6C:A5', 'ssid': 'PDSB-GUEST', 'signalStrength': -83}, {'macAddress': '20:3A:07:48:1A:01', 'ssid': 'PDSB-WiFi', 'signalStrength': -56}, {'macAddress': '20:3A:07:6F:40:B5', 'ssid': 'PDSB-GUEST', 'signalStrength': -83}, {'macAddress': '20:3A:07:48:18:21', 'ssid': 'PDSB-WiFi', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B1', 'ssid': 'PDSB-WiFi', 'signalStrength': -85}, {'macAddress': '20:3A:07:48:18:25', 'ssid': 'PDSB-GUEST', 'signalStrength': -81}, {'macAddress': '20:3A:07:48:18:24', 'ssid': 'PDSB-MEDIA', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -84}, {'macAddress': '20:3A:07:6F:40:B4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}]",43.538796999999995,-79.6664817,35,"1/20/2020, 7:51:10 AM",-55.0,-54.0,-56.0,-56.0,-69.75,-74.66666666666667,-69.75,-74.66666666666667,4.0,6.0,4.0,6.0,"(40, 5)"
1,19,18,582,"[{'macAddress': '20:3A:07:48:1A:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -53}, {'macAddress': '88:75:56:AF:20:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -59}, {'macAddress': '88:75:56:AF:20:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -59}, {'macAddress': '88:75:56:AF:20:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -59}, {'macAddress': '20:3A:07:48:1A:05', 'ssid': 'PDSB-GUEST', 'signalStrength': -55}, {'macAddress': '88:75:56:87:6C:A1', 'ssid': 'PDSB-WiFi', 'signalStrength': -83}, {'macAddress': '88:75:56:87:6C:A4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -82}, {'macAddress': '20:3A:07:48:1A:01', 'ssid': 'PDSB-WiFi', 'signalStrength': -55}, {'macAddress': '88:75:56:87:6C:A5', 'ssid': 'PDSB-GUEST', 'signalStrength': -82}, {'macAddress': '20:3A:07:48:1A:00', 'ssid': 'PDSB-ADMIN', 'signalStrength': -55}, {'macAddress': '88:75:56:87:6C:A0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -81}, {'macAddress': '20:3A:07:48:18:20', 'ssid': 'PDSB-ADMIN', 'signalStrength': -78}, {'macAddress': '20:3A:07:48:18:24', 'ssid': 'PDSB-MEDIA', 'signalStrength': -80}, {'macAddress': '20:3A:07:48:18:21', 'ssid': 'PDSB-WiFi', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B1', 'ssid': 'PDSB-WiFi', 'signalStrength': -83}, {'macAddress': '20:3A:07:6F:40:B5', 'ssid': 'PDSB-GUEST', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:25', 'ssid': 'PDSB-GUEST', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -85}]",43.538822499999995,-79.66647359999999,33,"1/20/2020, 7:51:24 AM",-55.0,-53.0,-55.0,-55.0,-71.6,-68.25,-72.0,-72.0,5.0,4.0,5.0,5.0,"(40, 5)"
2,20,17,583,"[{'macAddress': '88:75:56:AF:20:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -58}, {'macAddress': '88:75:56:AF:20:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -58}, {'macAddress': '88:75:56:87:6C:A4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:1A:01', 'ssid': 'PDSB-WiFi', 'signalStrength': -54}, {'macAddress': '20:3A:07:48:1A:05', 'ssid': 'PDSB-GUEST', 'signalStrength': -55}, {'macAddress': '20:3A:07:48:1A:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -54}, {'macAddress': '88:75:56:87:6C:A5', 'ssid': 'PDSB-GUEST', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:1A:00', 'ssid': 'PDSB-ADMIN', 'signalStrength': -55}, {'macAddress': '88:75:56:87:6C:A0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -82}, {'macAddress': '88:75:56:87:6C:A1', 'ssid': 'PDSB-WiFi', 'signalStrength': -85}, {'macAddress': '20:3A:07:48:18:20', 'ssid': 'PDSB-ADMIN', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B5', 'ssid': 'PDSB-GUEST', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:24', 'ssid': 'PDSB-MEDIA', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -84}, {'macAddress': '20:3A:07:6F:40:B4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:21', 'ssid': 'PDSB-WiFi', 'signalStrength': -80}, {'macAddress': '20:3A:07:6F:40:B1', 'ssid': 'PDSB-WiFi', 'signalStrength': -85}]",43.538818299999996,-79.6664443,32,"1/20/2020, 7:51:33 AM",-55.0,-54.0,-54.0,-55.0,-71.8,-72.0,-72.4,-70.25,5.0,5.0,5.0,4.0,"(41, 5)"
3,20,17,663,"[{'macAddress': '88:75:56:C6:45:50', 'ssid': 'PDSB-ADMIN', 'signalStrength': -84}, {'macAddress': '88:75:56:C6:45:54', 'ssid': 'PDSB-MEDIA', 'signalStrength': -86}, {'macAddress': '88:75:56:C6:45:51', 'ssid': 'PDSB-WiFi', 'signalStrength': -86}, {'macAddress': '88:75:56:C6:45:55', 'ssid': 'PDSB-GUEST', 'signalStrength': -86}, {'macAddress': '88:75:56:87:6C:A4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -54}, {'macAddress': '88:75:56:87:78:00', 'ssid': 'PDSB-ADMIN', 'signalStrength': -87}, {'macAddress': '88:75:56:87:78:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -85}, {'macAddress': '88:75:56:87:78:01', 'ssid': 'PDSB-WiFi', 'signalStrength': -80}, {'macAddress': '88:75:56:87:78:05', 'ssid': 'PDSB-GUEST', 'signalStrength': -85}, {'macAddress': '88:75:56:87:6C:A1', 'ssid': 'PDSB-WiFi', 'signalStrength': -53}, {'macAddress': '88:75:56:87:6C:A0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -49}, {'macAddress': '88:75:56:87:6C:A5', 'ssid': 'PDSB-GUEST', 'signalStrength': -46}, {'macAddress': '20:3A:07:6F:40:B0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -85}, {'macAddress': '20:3A:07:6F:40:B4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '20:3A:07:6F:40:B1', 'ssid': 'PDSB-WiFi', 'signalStrength': -84}, {'macAddress': '20:3A:07:6F:40:B5', 'ssid': 'PDSB-GUEST', 'signalStrength': -84}]",43.5388945,-79.6660386,22,"1/20/2020, 7:52:50 AM",-49.0,-54.0,-53.0,-46.0,-76.25,-77.25,-75.75,-75.25,4.0,4.0,4.0,4.0,"(47, 7)"
4,20,18,668,"[{'macAddress': '88:75:56:87:6C:A4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -66}, {'macAddress': '88:75:56:C6:45:55', 'ssid': 'PDSB-GUEST', 'signalStrength': -74}, {'macAddress': '88:75:56:C6:45:50', 'ssid': 'PDSB-ADMIN', 'signalStrength': -76}, {'macAddress': '88:75:56:C6:45:54', 'ssid': 'PDSB-MEDIA', 'signalStrength': -77}, {'macAddress': '88:75:56:C6:45:51', 'ssid': 'PDSB-WiFi', 'signalStrength': -76}, {'macAddress': '88:75:56:87:6C:A0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -63}, {'macAddress': '88:75:56:87:6C:A5', 'ssid': 'PDSB-GUEST', 'signalStrength': -66}, {'macAddress': '88:75:56:87:6C:A1', 'ssid': 'PDSB-WiFi', 'signalStrength': -67}]",43.538939899999995,-79.666016,20,"1/20/2020, 7:52:59 AM",-63.0,-66.0,-67.0,-66.0,-69.5,-71.5,-71.5,-70.0,2.0,2.0,2.0,2.0,"(48, 8)"
5,20,17,672,"[{'macAddress': '88:75:56:57:0F:C5', 'ssid': 'PDSB-GUEST', 'signalStrength': -82}, {'macAddress': '88:75:56:C6:45:50', 'ssid': 'PDSB-ADMIN', 'signalStrength': -89}, {'macAddress': '88:75:56:C6:45:54', 'ssid': 'PDSB-MEDIA', 'signalStrength': -88}, {'macAddress': '88:75:56:57:0F:C1', 'ssid': 'PDSB-WiFi', 'signalStrength': -84}, {'macAddress': '88:75:56:87:6C:A1', 'ssid': 'PDSB-WiFi', 'signalStrength': -86}, {'macAddress': '20:3A:07:9E:37:44', 'ssid': 'PDSB-MEDIA', 'signalStrength': -88}, {'macAddress': '20:3A:07:9E:37:40', 'ssid': 'PDSB-ADMIN', 'signalStrength': -87}]",43.538939899999995,-79.666016,20,"1/20/2020, 7:53:19 AM",-87.0,-88.0,-84.0,-82.0,-88.0,-88.0,-85.0,-82.0,2.0,2.0,2.0,1.0,"(48, 8)"
6,20,17,674,"[{'macAddress': '20:3A:07:9E:37:44', 'ssid': 'PDSB-MEDIA', 'signalStrength': -86}, {'macAddress': '20:3A:07:9E:37:41', 'ssid': 'PDSB-WiFi', 'signalStrength': -82}, {'macAddress': '20:3A:07:9E:37:40', 'ssid': 'PDSB-ADMIN', 'signalStrength': -87}, {'macAddress': '20:3A:07:9E:37:45', 'ssid': 'PDSB-GUEST', 'signalStrength': -85}]",43.5391329,-79.6666156,26,"1/20/2020, 7:53:29 AM",-87.0,-86.0,-82.0,-85.0,-87.0,-86.0,-82.0,-85.0,1.0,1.0,1.0,1.0,"(38, 12)"
7,20,17,672,"[{'macAddress': '88:75:56:AF:20:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -84}, {'macAddress': '88:75:56:AF:20:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -86}, {'macAddress': '88:75:56:AF:20:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -87}, {'macAddress': '88:75:56:AF:20:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -86}, {'macAddress': '88:75:56:87:69:81', 'ssid': 'PDSB-WiFi', 'signalStrength': -85}, {'macAddress': '88:75:56:87:69:80', 'ssid': 'PDSB-ADMIN', 'signalStrength': -85}, {'macAddress': '20:3A:07:48:18:25', 'ssid': 'PDSB-GUEST', 'signalStrength': -77}, {'macAddress': '88:75:56:87:69:84', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:24', 'ssid': 'PDSB-MEDIA', 'signalStrength': -77}, {'macAddress': '88:75:56:87:69:85', 'ssid': 'PDSB-GUEST', 'signalStrength': -85}, {'macAddress': '20:3A:07:48:18:D0', 'ssid': 'PDSB-ADMIN', 'signalStrength': -87}, {'macAddress': '20:3A:07:48:18:D4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -86}, {'macAddress': '20:3A:07:48:18:D1', 'ssid': 'PDSB-WiFi', 'signalStrength': -85}, {'macAddress': '20:3A:07:6F:42:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -77}, {'macAddress': '20:3A:07:6F:42:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -77}, {'macAddress': '20:3A:07:6F:42:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -77}, {'macAddress': '20:3A:07:6F:42:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -77}, {'macAddress': '20:3A:07:48:1A:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:1A:01', 'ssid': 'PDSB-WiFi', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:D5', 'ssid': 'PDSB-GUEST', 'signalStrength': -86}, {'macAddress': '20:3A:07:48:18:21', 'ssid': 'PDSB-WiFi', 'signalStrength': -77}]",43.538835799999994,-79.6668033,23,"1/20/2020, 7:54:15 AM",-77.0,-77.0,-77.0,-77.0,-84.0,-82.33333333333333,-82.0,-82.2,4.0,6.0,6.0,5.0,"(35, 5)"
8,20,19,670,"[{'macAddress': '88:75:56:87:69:84', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:24', 'ssid': 'PDSB-MEDIA', 'signalStrength': -77}, {'macAddress': '20:3A:07:48:18:21', 'ssid': 'PDSB-WiFi', 'signalStrength': -76}, {'macAddress': '88:75:56:87:69:80', 'ssid': 'PDSB-ADMIN', 'signalStrength': -84}, {'macAddress': '20:3A:07:48:18:25', 'ssid': 'PDSB-GUEST', 'signalStrength': -77}, {'macAddress': '88:75:56:87:69:81', 'ssid': 'PDSB-WiFi', 'signalStrength': -85}, {'macAddress': '20:3A:07:6F:42:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -78}, {'macAddress': '20:3A:07:6F:42:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -78}, {'macAddress': '20:3A:07:6F:42:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -77}, {'macAddress': '20:3A:07:6F:42:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -78}, {'macAddress': '20:3A:07:48:18:D5', 'ssid': 'PDSB-GUEST', 'signalStrength': -89}, {'macAddress': '20:3A:07:48:1A:05', 'ssid': 'PDSB-GUEST', 'signalStrength': -85}, {'macAddress': '20:3A:07:48:1A:00', 'ssid': 'PDSB-ADMIN', 'signalStrength': -86}, {'macAddress': '20:3A:07:48:18:D4', 'ssid': 'PDSB-MEDIA', 'signalStrength': -88}, {'macAddress': '20:3A:07:48:1A:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -85}, {'macAddress': '20:3A:07:48:18:20', 'ssid': 'PDSB-ADMIN', 'signalStrength': -77}, {'macAddress': '88:75:56:87:69:85', 'ssid': 'PDSB-GUEST', 'signalStrength': -85}]",43.5388492,-79.6668064,24,"1/20/2020, 7:54:23 AM",-77.0,-77.0,-76.0,-77.0,-81.25,-82.4,-79.33333333333333,-82.8,4.0,5.0,3.0,5.0,"(35, 6)"
9,20,21,672,"[{'macAddress': '88:75:56:AF:20:15', 'ssid': 'PDSB-GUEST', 'signalStrength': -85}, {'macAddress': '88:75:56:AF:20:10', 'ssid': 'PDSB-ADMIN', 'signalStrength': -85}, {'macAddress': '88:75:56:AF:20:14', 'ssid': 'PDSB-MEDIA', 'signalStrength': -84}, {'macAddress': '88:75:56:AF:20:11', 'ssid': 'PDSB-WiFi', 'signalStrength': -83}, {'macAddress': '20:3A:07:48:18:21', 'ssid': 'PDSB-WiFi', 'signalStrength': -76}, {'macAddress': '20:3A:07:48:18:24', 'ssid': 'PDSB-MEDIA', 'signalStrength': -75}, {'macAddress': '20:3A:07:48:18:25', 'ssid': 'PDSB-GUEST', 'signalStrength': -77}, {'macAddress': '20:3A:07:48:18:20', 'ssid': 'PDSB-ADMIN', 'signalStrength': -80}, {'macAddress': '20:3A:07:48:1A:05', 'ssid': 'PDSB-GUEST', 'signalStrength': -82}, {'macAddress': '20:3A:07:48:1A:01', 'ssid': 'PDSB-WiFi', 'signalStrength': -83}, {'macAddress': '20:3A:07:48:1A:00', 'ssid': 'PDSB-ADMIN', 'signalStrength': -86}, {'macAddress': '20:3A:07:48:1A:04', 'ssid': 'PDSB-MEDIA', 'signalStrength': -85}]",43.5388151,-79.6666472,20,"1/20/2020, 7:54:31 AM",-80.0,-75.0,-76.0,-77.0,-83.66666666666667,-81.33333333333333,-80.66666666666667,-81.33333333333333,3.0,3.0,3.0,3.0,"(38, 5)"
